Sample,Column,Row,Grade,file.name,Sample.old,Postion2D,Barcode,array.Postion
A5.N,1,2,N,X203389170033_R01,MAP24-B7,A5,2.03389E+11,R01
A6.N,2,2,N,X203389170047_R01,MAP24-D6,A6,2.03389E+11,R01
A7.N,3,2,N,X203389170048_R01,MAP24-E11,A7,2.03389E+11,R01
A8.N,4,2,N,X203389170106_R01,MAP24-G11,A8,2.03389E+11,R01
B5.N,1,3,N,X203389170033_R02,MAP24-B8,B5,2.03389E+11,R02
B6.D1,2,3,D1,X203389170047_R02,MAP24-D8,B6,2.03389E+11,R02
B7.N,3,3,N,X203389170048_R02,MAP24-F5,B7,2.03389E+11,R02
B8.D1,4,3,D1,X203389170106_R02,MAP24-H6,B8,2.03389E+11,R02
C5.N,1,4,N,X203389170033_R03,MAP24-C6,C5,2.03389E+11,R03
C6.N,2,4,N,X203389170047_R03,MAP24-D9,C6,2.03389E+11,R03
C7.D1,3,4,D1,X203389170048_R03,MAP24-F6,C7,2.03389E+11,R03
C8.D2,4,4,D2,X203389170106_R03,MAP24-H7,C8,2.03389E+11,R03
D5.N,1,5,N,X203389170033_R04,MAP24-C7,D5,2.03389E+11,R04
D6.D2,2,5,D2,X203389170047_R04,MAP24-D10,D6,2.03389E+11,R04
D7.D2,3,5,D2,X203389170048_R04,MAP24-F10,D7,2.03389E+11,R04
D8.D5,4,5,D5,X203389170106_R04,MAP24-H9,D8,2.03389E+11,R04
E5.N,1,6,N,X203389170033_R05,MAP24-C8,E5,2.03389E+11,R05
E6.N,2,6,N,X203389170047_R05,MAP24-D11,E6,2.03389E+11,R05
E7.N,3,6,N,X203389170048_R05,MAP24-G5,E7,2.03389E+11,R05
E8.N,4,6,N,X203389170106_R05,MAP24-H11,E8,2.03389E+11,R05
F5.N,1,7,N,X203389170033_R06,MAP24-C9,F5,2.03389E+11,R06
F6.D3,2,7,D3,X203389170047_R06,MAP24-E8,F6,2.03389E+11,R06
F7.N,3,7,N,X203389170048_R06,MAP24-G6,F7,2.03389E+11,R06
F8.D2,4,7,D2,X203389170106_R06,MAP24-I9,F8,2.03389E+11,R06
G5.N,1,8,N,X203389170033_R07,MAP24-C10,G5,2.03389E+11,R07
G6.D2,2,8,D2,X203389170047_R07,MAP24-E9,G6,2.03389E+11,R07
G7.D5,3,8,D5,X203389170048_R07,MAP24-G9,G7,2.03389E+11,R07
G8.D5,4,8,D5,X203389170106_R07,MAP24-T1,G8,2.03389E+11,R07
H5.N,1,9,N,X203389170033_R08,MAP24-D5,H5,2.03389E+11,R08
H6.D2,2,9,D2,X203389170047_R08,MAP24-E10,H6,2.03389E+11,R08
H7.D2,3,9,D2,X203389170048_R08,MAP24-G10,H7,2.03389E+11,R08
H8.Control,4,9,Control,X203389170106_R08,MAP24-N1,H8,2.03389E+11,R08
