Sample,Postion2D,Barcode,Position,map,basename,Grade,group,batch,Column,Row
MAP24B7,A5,2.03E+11,R01C01,MAP24,203219730044_R01C01,N,LG,batch1,1,3
MAP24B8,B5,2.03E+11,R02C01,MAP24,203219730044_R02C01,N,LG,batch1,1,4
MAP24C6,C5,2.03E+11,R03C01,MAP24,203219730044_R03C01,N,LG,batch1,2,2
MAP24C7,D5,2.03E+11,R04C01,MAP24,203219730044_R04C01,N,LG,batch1,2,3
MAP24C8,E5,2.03E+11,R05C01,MAP24,203219730044_R05C01,N,LG,batch1,2,4
MAP24C9,F5,2.03E+11,R06C01,MAP24,203219730044_R06C01,N,LG,batch1,2,5
MAP24C10,G5,2.03E+11,R07C01,MAP24,203219730044_R07C01,N,LG,batch1,2,6
MAP24D5,H5,2.03E+11,R08C01,MAP24,203219730044_R08C01,N,LG,batch1,3,1
MAP24D6,A6,2.03E+11,R01C01,MAP24,203219730080_R01C01,N,LG,batch1,3,2
MAP24D9,C6,2.03E+11,R03C01,MAP24,203219730080_R03C01,N,LG,batch1,3,5
MAP24D11,E6,2.03E+11,R05C01,MAP24,203219730080_R05C01,N,LG,batch1,3,7
MAP24E11,A7,2.03E+11,R01C01,MAP24,203219730081_R01C01,N,LG,batch1,4,7
MAP24F5,B7,2.03E+11,R02C01,MAP24,203219730081_R02C01,N,LG,batch1,5,1
MAP24G5,E7,2.03E+11,R05C01,MAP24,203219730081_R05C01,N,LG,batch1,6,1
MAP24G6,F7,2.03E+11,R06C01,MAP24,203219730081_R06C01,N,LG,batch1,6,2
MAP24G11,A8,2.03E+11,R01C01,MAP24,203219730136_R01C01,N,LG,batch1,6,7
MAP24H11,E8,2.03E+11,R05C01,MAP24,203219730136_R05C01,N,LG,batch1,7,7
MAP24D8,B6,2.03E+11,R02C01,MAP24,203219730080_R02C01,D1,LG,batch1,3,4
MAP24F6,C7,2.03E+11,R03C01,MAP24,203219730081_R03C01,D1,LG,batch1,5,2
MAP24H6,B8,2.03E+11,R02C01,MAP24,203219730136_R02C01,D1,LG,batch1,7,2
MAP24.D1.D7,0,0,0,MAP24,0,D1,LG,batch2,3,3
MAP24D10,D6,2.03E+11,R04C01,MAP24,203219730080_R04C01,D2,LG,batch1,3,6
MAP24E9,G6,2.03E+11,R07C01,MAP24,203219730080_R07C01,D2,LG,batch1,4,5
MAP24E10,H6,2.03E+11,R08C01,MAP24,203219730080_R08C01,D2,LG,batch1,4,6
MAP24F10,D7,2.03E+11,R04C01,MAP24,203219730081_R04C01,D2,LG,batch1,5,6
MAP24G10,H7,2.03E+11,R08C01,MAP24,203219730081_R08C01,D2,LG,batch1,6,6
MAP24H7,C8,2.03E+11,R03C01,MAP24,203219730136_R03C01,D2,LG,batch1,7,3
MAP24I9,F8,2.03E+11,R06C01,MAP24,203219730136_R06C01,D2,LG,batch1,8,5
MAP24.D2.H10,0,0,0,MAP24,0,D2,LG,batch2,7,6
MAP24E8,F6,2.03E+11,R06C01,MAP24,203219730080_R06C01,D3,HG,batch1,4,4
MAP24.D4.G7,0,0,0,MAP24,0,D4,HG,batch2,6,3
MAP24.D3.F9,0,0,0,MAP24,0,D3,HG,batch2,5,5
MAP24G9,G7,2.03E+11,R07C01,MAP24,203219730081_R07C01,D5,UC,batch1,6,5
MAP24H9,D8,2.03E+11,R04C01,MAP24,203219730136_R04C01,D5,UC,batch1,7,5
MAP24T1,G8,2.03E+11,R07C01,MAP24,203219730136_R07C01,D5,UC,batch1,5,4
